url,status,title,title_len,meta_desc_len,canonical,h1,robots,og_type,has_jsonld,word_count
"/",200,"Création de Site Internet Hautes-Alpes (Embrun, Gap)",53,155,"https://www.facenordgraphisme.fr","Face Nord","index, follow","website",2,0
"/prestations",200,"Prestations Web &amp; SEO — Création, Refonte, Maintenance | Hautes-Alpes | Face Nord Graphisme",98,180,"https://www.facenordgraphisme.fr/prestations","Face Nord","index, follow","",2,0
"/creation-site-internet-hautes-alpes",200,"Création Site Internet Hautes-Alpes — Face Nord Graphisme | Face Nord Graphisme",82,173,"https://www.facenordgraphisme.fr/creation-site-internet-hautes-alpes","Face Nord","index, follow","",2,0
"/boutique-e-commerce-hautes-alpes",200,"Boutique E-commerce Hautes-Alpes — WooCommerce &amp; Next.js | Face Nord Graphisme",84,182,"https://www.facenordgraphisme.fr/boutique-e-commerce-hautes-alpes","Face Nord","index, follow","",2,0
"/referencement-seo-hautes-alpes",200,"Référencement SEO Hautes-Alpes — Expert SEO local Gap, Briançon, Embrun | Face Nord Graphisme",98,163,"https://www.facenordgraphisme.fr/referencement-seo-hautes-alpes","Face Nord","index, follow","",2,0
"/refonte-ai-friendly",200,"Refonte Site Internet AI-Friendly — Hautes-Alpes | Face Nord Graphisme | Face Nord Graphisme",94,185,"https://www.facenordgraphisme.fr/refonte-ai-friendly","Face Nord","index, follow","",2,0
"/refonte-ia-friendly",200,"Refonte IA Friendly | Hautes-Alpes (Embrun, Gap) | Face Nord Graphisme",70,278,"https://www.facenordgraphisme.fr/refonte-ia-friendly","Face Nord","index, follow","website",3,0
"/maintenance-site-internet-hautes-alpes",200,"Maintenance Site Internet Hautes-Alpes — WordPress &amp; Next.js | Face Nord Graphisme",88,191,"https://www.facenordgraphisme.fr/maintenance-site-internet-hautes-alpes","Face Nord","index, follow","",2,0
"/referencement-ia",200,"Référencement IA — GEO &amp; AI Overviews | Face Nord Graphisme Hautes-Alpes | Face Nord Graphisme",102,185,"https://www.facenordgraphisme.fr/referencement-ia","Face Nord","index, follow","",2,0
"/portfolio",200,"Portfolio | Réalisations Web Hautes-Alpes | Face Nord Graphisme",64,135,"https://www.facenordgraphisme.fr","Face Nord","index, follow","website",2,0
"/blog",200,"Blog Web &amp; SEO | Astuces digitales Hautes-Alpes | Face Nord Graphisme",73,144,"https://www.facenordgraphisme.fr","Face Nord","index, follow","website",2,0
"/a-propos",200,"À Propos | Développeur Web Hautes-Alpes (Embrun) | Face Nord Graphisme",72,164,"https://www.facenordgraphisme.fr","Face Nord","index, follow","website",2,0
"/contact",200,"Contactez une agence web dans les Hautes-Alpes | Embrun | Face Nord Graphisme",77,142,"https://www.facenordgraphisme.fr","Face Nord","index, follow","website",2,0
"/faq",200,"Foire Aux Questions (FAQ) | Agence Web Embrun | Face Nord Graphisme",67,162,"https://www.facenordgraphisme.fr","Face Nord","index, follow","website",2,0
"/mentions-legales",200,"Face Nord Graphisme | Création de site internet Hautes-Alpes",61,146,"https://www.facenordgraphisme.fr","Face Nord","index, follow","website",2,0
"/politique-de-confidentialite",200,"Face Nord Graphisme | Création de site internet Hautes-Alpes",61,146,"https://www.facenordgraphisme.fr","Face Nord","index, follow","website",2,0
"/villes/briancon-hautes-alpes",200,"Agence web Briançon (05) — Création site internet | Face Nord Graphisme | Face Nord Graphisme",97,192,"https://www.facenordgraphisme.fr/villes/briancon-hautes-alpes","Face Nord","index, follow","website",2,0
"/villes/embrun-serre-poncon",200,"Agence web Embrun / Serre-Ponçon (05) — Face Nord Graphisme | Face Nord Graphisme",84,185,"https://www.facenordgraphisme.fr/villes/embrun-serre-poncon","Face Nord","index, follow","website",2,0
"/villes/gap-hautes-alpes",200,"Agence web Gap (05) — Création site internet | Face Nord Graphisme | Face Nord Graphisme",91,168,"https://www.facenordgraphisme.fr/villes/gap-hautes-alpes","Face Nord","index, follow","website",2,0
"/portfolio/act-event-pro",200,"Act Event Pro | Réalisation Web Hautes-Alpes | Face Nord Graphisme",67,90,"https://www.facenordgraphisme.fr/portfolio/act-event-pro","Face Nord","index, follow","website",2,0
"/portfolio/gaec-des-valentins",200,"GAEC des Valentins | Réalisation Web Hautes-Alpes | Face Nord Graphisme",72,98,"https://www.facenordgraphisme.fr/portfolio/gaec-des-valentins","Face Nord","index, follow","website",2,0
"/portfolio/gaudineto",200,"Gaudineto | Réalisation Web Hautes-Alpes | Face Nord Graphisme",63,103,"https://www.facenordgraphisme.fr/portfolio/gaudineto","Face Nord","index, follow","website",2,0
"/portfolio/reves-d-aventures",200,"Rêves d&#x27;Aventures | Réalisation Web Hautes-Alpes | Face Nord Graphisme",77,85,"https://www.facenordgraphisme.fr/portfolio/reves-d-aventures","Face Nord","index, follow","website",2,0
"/portfolio/reves-daventures",200,"Rêves d&#x27;Aventures — Site vitrine &amp; réservation sports outdoor Hautes-Alpes | Face Nord Graphisme",109,139,"https://www.facenordgraphisme.fr/portfolio/reves-daventures","Face Nord","index, follow","website",2,0
"/portfolio/verdon-ebike",200,"Verdon E-Bike — Site vitrine location VAE Gorges du Verdon | Face Nord Graphisme",82,150,"https://www.facenordgraphisme.fr/portfolio/verdon-ebike","Face Nord","index, follow","website",2,0
"/blog/le-guide-complet-de-la-visibilite-en-ligne-pour-les-commercants-des-hautes-alpes",200,"Visibilit� en ligne Hautes-Alpes | Face Nord Graphisme",56,171,"https://www.facenordgraphisme.fr/blog/le-guide-complet-de-la-visibilite-en-ligne-pour-les-commercants-des-hautes-alpes","Face Nord","index, follow","article",2,0
"/blog/refonte-site-internet-5-signes",200,"5 signes pour refondre son site web | Face Nord Graphisme",57,158,"https://www.facenordgraphisme.fr/blog/refonte-site-internet-5-signes","Face Nord","index, follow","article",2,0
"/blog/digitaliser-reservations-tourisme-hautes-alpes",200,"R�servations en ligne Hautes-Alpes | Face Nord Graphisme",58,151,"https://www.facenordgraphisme.fr/blog/digitaliser-reservations-tourisme-hautes-alpes","Face Nord","index, follow","article",2,0
"/blog/seo-vs-referencement-sur-l-ia-quelle-strategie-adopter-en-2026",200,"SEO vs IA : quelle strat�gie 2026 | Face Nord Graphisme",57,153,"https://www.facenordgraphisme.fr/blog/seo-vs-referencement-sur-l-ia-quelle-strategie-adopter-en-2026","Face Nord","index, follow","article",2,0
"/blog/4-signaux-citation-ia-artisans",200,"Les 4 Signaux IA que les Artisans Ignorent | Face Nord Graphisme",64,158,"https://www.facenordgraphisme.fr/blog/4-signaux-citation-ia-artisans","Face Nord","index, follow","article",2,0
"/blog/balises-title-meta-description-pme-hautes-alpes",200,"Balises title &amp; meta : guide PME 05 | Face Nord Graphisme",61,166,"https://www.facenordgraphisme.fr/blog/balises-title-meta-description-pme-hautes-alpes","Face Nord","index, follow","article",3,0
"/blog/google-business-profile-artisans-hautes-alpes",200,"Google Business Profile - guide 05 | Face Nord Graphisme",56,164,"https://www.facenordgraphisme.fr/blog/google-business-profile-artisans-hautes-alpes","Face Nord","index, follow","article",2,0
"/blog/geo-referencement-ia-artisans-pme-hautes-alpes",200,"Référencement IA : Guide GEO 2026 | Face Nord Graphisme",57,163,"https://www.facenordgraphisme.fr/blog/geo-referencement-ia-artisans-pme-hautes-alpes","Face Nord","index, follow","article",2,0
"/blog/gerer-avis-google-artisans-pme-hautes-alpes",200,"Avis Google : guide artisans et PME | Face Nord Graphisme",57,164,"https://www.facenordgraphisme.fr/blog/gerer-avis-google-artisans-pme-hautes-alpes","Face Nord","index, follow","article",3,0
"/blog/guide-creation-site-internet-artisan-hautes-alpes",200,"Création Site Internet Artisan Hautes-Alpes 2026 | Face Nord Graphisme",71,156,"https://www.facenordgraphisme.fr/blog/guide-creation-site-internet-artisan-hautes-alpes","Face Nord","index, follow","article",2,0
"/blog/prix-site-internet-artisan-pme-hautes-alpes",200,"Prix site web Hautes-Alpes : d�s 800 ? | Face Nord Graphisme",62,160,"https://www.facenordgraphisme.fr/blog/prix-site-internet-artisan-pme-hautes-alpes","Face Nord","index, follow","article",2,0
"/blog/reservation-directe-eviter-commissions-booking-hautes-alpes",200,"Réservation Directe : Éviter les Commissions Booking | Face Nord Graphisme",76,166,"https://www.facenordgraphisme.fr/blog/reservation-directe-eviter-commissions-booking-hautes-alpes","Face Nord","index, follow","article",2,0
"/blog/seo-local-hautes-alpes-artisans-pme",200,"SEO local Hautes-Alpes - guide PME 05 | Face Nord Graphisme",59,150,"https://www.facenordgraphisme.fr/blog/seo-local-hautes-alpes-artisans-pme","Face Nord","index, follow","article",3,0
